Projeto de LEI,Projeto de Lei - Regex,sigla,numero,ano,Origem Dados,camara_projeto,camara_ementa,camara_data_ultima_tramitacao,camara_orgao_ultima_tramitacao,camara_descricao_tramitacao,camara_situacao_ultima_tramitacao,camara_despacho_ultima_tramitacao,camara_data_parecer_aprovado,camara_orgao_parecer,camara_despacho_parecer,camara_link_inteiro_teor_parecer,camara_link_inteiro_teor_pl,camara_link_ficha_tramitacao,camara_data_proposta_pl,camara_propositor_pl,camara_partido,camara_estado,camara_emendas,camara_substitutivos,senado_projeto,senado_ementa,senado_data_ultima_tramitacao,senado_orgao_ultima_tramitacao,senado_situacao_ultima_tramitacao,senado_data_parecer_aprovado,senado_orgao_parecer,senado_link_inteiro_teor_parecer,senado_link_inteiro_teor_pl,senado_link_ficha_tramitacao,senado_data_proposta_pl,senado_propositor_pl,senado_partido,senado_estado,senado_emendas,senado_substitutivos,Nº,Processo,Descrição,Encaminhamento prévio - Teams/E-mail,1º Encaminhamento - Rementente,1º Encaminhamento - Despacho /Ofício,1º Encaminhamento - Data,1º Encaminhamento - Prazo p/ Resposta,2º Encaminhamento - Remetente,2º Encaminhamento - Despacho,2º Encaminhamento - Data,2º Encaminhamento - Prazo p/ Resposta,3º Encaminhamento - Remetente,3º Encaminhamento - Despacho,3º Encaminhamento - Data,3º Encaminhamento - Prazo p/ Resposta,Período de elaboração da Análise - Quantidade de dias úteis,Envio para a Delog - Data,Envio ao Gabinete da Seges - Data,Validação pelo gabinete da Seges - Quantidade de dias úteis,Assinaturas - Data,Manifestação da Seges - Nota técnica,Andamento do PL - Data/Detalhamento,Observações andamento - Parecer,camara_id_proposicao,senado_id_processo,senado_codigo_materia
PL nº 4603/2023,PL 4603/2023,PL,4603,2023,Câmara,PL 4603/2023,"Altera a Lei nº 11.578, de 26 de novembro de 2007, para prever a obrigatoriedade de conteúdo nacional mínimo de bens e serviços nacionais nas contratações relacionadas a ações do Novo Programa de Aceleração do Crescimento - Novo PAC e de processo licitatório destinado exclusivamente a empresas brasileiras de capital nos empreendimentos vinculados ao Novo PAC.",26/03/2025,CDE,Devolução ao(à) Relator(a),Aguardando Parecer,"Devolvido ao Relator, Dep. Saulo Pedroso (PSD-SP)",07/03/2024,CDE,"Parecer do Relator, Dep. Saulo Pedroso (PSD-SP), pela aprovação, com Emendas.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2446065,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2331533,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2389587,20/09/2023,Félix Mendonça Júnior,PDT,BA,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2389587&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2389587,,,,,,,,,,,,,,,,,1,18001.102696/2023-68,"""Altera a Lei nº 11.578, de 26 de
novembro de 2007, para prever a
obrigatoriedade de conteúdo nacional
mínimo de bens e serviços nacionais nas
contratações relacionadas a ações do Novo
Programa de Aceleração do Crescimento –
Novo PAC e de processo licitatório destinado
exclusivamente a empresas brasileiras de
capital nos empreendimentos vinculados ao
Novo PAC.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 153985/2023/MGI (SEI 39219578),20/12/2023,12/01/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 39252679),21/12/2023,10/01/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 39254503),21/12/2023,08/01/2024,11,10/01/2024,10/01/2024,8,19/01/2024,contrária ao PL,"Retirado de pauta, de ofício, em virtude da ausência do Relator.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2446065&filename=Tramitacao-PL%204603/2023,2389587,,
PL 510/2021,PL 510/2021,PL,510,2021,Senado,,,,,,,,,,,,,,,,,,,,PL 510/2021,"Altera a Lei n° 11.952, de 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União; a Lei n° 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da administração pública; a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos; a Lei nº 13.240, de 30 de dezembro de 2015, que dispõe sobre a administração, a alienação, a transferência de gestão de imóveis da União e seu uso para a constituição de fundos; e a Lei nº 10.304, de 5 de novembro de 2001, que Transfere ao domínio dos Estados de Roraima e do Amapá terras pertencentes à União, a fim de ampliar o alcance da regularização fundiária e dar outras providências.",11/09/2025,CRA - Comissão de Agricultura e Reforma Agrária,"Recebidas as Emendas nºs 133 a 137 do Senador Jaime Bagattoli ao PL 510/2021.
Comunicado o recebimento ao Relator, Senador Marcos Rogério.

(Tramitam em conjunto o PL 2633/2020 e o PL 510/2021)",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=8927996&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/146639,22/02/2021,Irajá,PSD,TO,https://www25.senado.leg.br/web/atividade/materias/-/materia/146639,https://www25.senado.leg.br/web/atividade/materias/-/materia/146639,2,18001.000215/2024-61,"""Altera a Lei n°11.952, de 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União; a Lei n°8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da administração pública; a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos; a Lei nº 13.240, de 30 de dezembro de 2015, que dispõe sobre a administração, a alienação, a transferência de gestão de imóveis da União e seu uso para a constituição de fundos; e a Lei nº 10.304, de 5 de novembro de 2001, que Transfere ao domínio dos Estados de Roraima e do Amapá terras pertencentes à União, a fim de ampliar o alcance da regularização fundiária e dar outras providências""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 9434/2024/MGI (SEI 39790971),30/01/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 39884772),31/01/2024,15/02/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 39899262),01/02/2024,13/02/2024,7,06/02/2024,,9,20/02/2024,"Em conclusão, esta unidade técnica, dentro de seu espectro de atuação (indicado no item 2 desta Nota Técnica), informa que a análise do Projeto de Lei nº 510, de 2021, que trata da ampliação do alcance da regularização fundiária de imóveis da União, restou prejudicada por refugir do espectro de competências desta Seges, enquanto órgão central do Sistema de Serviços Gerais (Sisg), devendo os autos serem encaminhados a Secretaria do Patrimônio da União órgão responsável pelas ações e projetos voltados à destinação e à regularização fundiária de imóveis da União, para manifestação.","2ª autuação
 
22/11/2023
CMA - Comissão de Meio Ambiente
Situação:
MATÉRIA COM A RELATORIA
Ação:
Redistribuído à Senadora Eliziane Gama, para emitir relatório.                                                               (Tramitam em conjunto o PL 2633/2020 e o PL 510/2021)",https://www25.senado.leg.br/web/atividade/materias/-/materia/146639,,8023620,146639
PL 2633/2020,PL 2633/2020,PL,2633,2020,Câmara + Senado,PL 2633/2020,"Altera a Lei n° 11.952, de 25 de junho de 2009, que dispõe sobre a regularização fundiária das ocupações incidentes em terras situadas em áreas da União; a Lei n° 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da administração pública; a Lei nº 6.015, de 31 de dezembro de 1973, que dispõe sobre os registros públicos; a fim de ampliar o alcance da regularização fundiária e dar outras providências.  NOVA EMENTA: Altera as Leis nºs 11.952, de 25 de junho de 2009, 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), e 6.015, de 31 de dezembro de 1973, a fim de ampliar o alcance da regularização fundiária; e dá outras providências.",14/10/2021,MESA,Apresentação de Proposição,Aguardando Apreciação pelo Senado Federal,"Apresentação da Declaração de Voto n. 32 MESA, pela Deputada Luizianne Lins  (PT/CE).",08/03/2021,PLEN,"Apresentação do Parecer Preliminar às Emendas de Plenário n. 1 PLEN, pelo Deputado Bosco Saraiva  (SOLIDARI/AM).",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2050247,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1893531,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2252589,14/05/2020,Zé Silva,SOLIDARIEDADE,MG,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2252589&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2252589,PL 2633/2020,"Altera as Leis nºs 11.952, de 25 de junho de 2009, 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), e 6.015, de 31 de dezembro de 1973, a fim de ampliar o alcance da regularização fundiária; e dá outras providências.",11/09/2025,CRA - Comissão de Agricultura e Reforma Agrária,"Recebidas as Emendas nºs 133 a 137 do Senador Jaime Bagattoli ao PL 510/2021.
Comunicado o recebimento ao Relator, Senador Marcos Rogério.

(Tramitam em conjunto o PL 2633/2020 e o PL 510/2021)",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=8996393&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/149358,04/08/2021,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/149358,https://www25.senado.leg.br/web/atividade/materias/-/materia/149358,3,18001.000214/2024-17,"""altera as Leis nºs 11.952, de 25 de junho de 2009, 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), e 6.015, de 31 de dezembro de 1973, a fim de ampliar o alcance da regularização fundiária; e dá outras providências"".",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 9377/2024/MGI (SEI 39789102),30/01/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 39875757),30/01/2024,15/02/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 39876358),30/01/2024,13/02/2024,9,05/02/2024,,10,20/02/2024,"Em conclusão, esta unidade técnica, dentro de seu espectro de atuação (indicado no item 2 desta Nota Técnica), informa que a análise do Projeto de Lei nº 2633, de 2020, que trata da ampliação e aperfeiçoamento da regularização fundiária de imóveis da União, restou prejudicada por refugir da abrangência de competências desta Seges, enquanto órgão central do Sistema de Serviços Gerais (Sisg), devendo os autos serem encaminhados à Secretaria do Patrimônio da União, órgão responsável pelas ações e projetos voltados à destinação e à regularização fundiária de imóveis e alienação de imóveis pertencentes a União, para manifestação. ","2ª autuação
 
22/11/2023
CMA - Comissão de Meio Ambiente
Situação:
MATÉRIA COM A RELATORIA
Ação:
Redistribuído à Senadora Eliziane Gama, para emitir relatório.                                                               (Tramitam em conjunto o PL 2633/2020 e o PL 510/2021)",https://www25.senado.leg.br/web/atividade/materias/-/materia/149358,2252589,8112919,149358
"PL nº 2789, de 2021",PL 2789/2021,PL,2789,2021,Câmara,PL 2789/2021,"Moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa.",04/03/2026,CCULT,Parecer do(a) Relator(a),Pronta para Pauta,"Parecer da Relatora, Dep. Alice Portugal (PCdoB-BA), pela aprovação deste, com substitutivo.",03/04/2026,CCULT,"Mantido o parecer da Relatora, Dep. Alice Portugal, PRL 1 CCULT.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2404872,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2055130,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293801,11/08/2021,Erika Kokay; Benedita da Silva; Leo de Brito; João Daniel; Rogério Correia (+29),PT,DF,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2293801&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2293801,,,,,,,,,,,,,,,,,4,18001.102523/2023-40,"""Moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa"" ",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 142672/2023/MGI (SEI 38762676),31/01/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 40792817),15/03/2024,29/03/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 40803319 ),15/03/2024,27/03/2024,9,27/03/2024,28/03/2024,12,15/04/2024,"Diante do exposto, considerando-se as competências regimentais da Delog e DTGES conquanto o mérito de relevo da proposição, opina-se pelo prosseguimento da proposição apresentada por meio do Novo Substitutivo (SEI-MGI 41390673) apresentado pela Comissão de Cultura da Câmara ao Projeto de Lei nº 2.789, de 2021, desde que observados os apontamentos constantes dos itens 8 a 14 desta Nota Técnica.","13/08/2024
CCULT - Comissão de Cultura
Ação:
Aprovado o requerimento nº 31/2024,da Sra. Alice Portugal que requer a realização de Audiência Pública para debater o papel estratégico do Arquivo Nacional e o PL 2789/2021, que moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293801&fichaAmigavel=nao,2293801,,
PL - emergência fitossanitária ,,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18001.000372/2024-77,"Dispõe sobre as medidas para o enfrentamento de emergência fitossanitária ou zoossanitária de que trata a Lei nº 12.873, de 24 de outubro de 2013, institui o Sistema Nacional de Emergências Agropecuárias - SINEAGRO, autoriza o custeio de deslocamento de integrantes do SUASA em operações da defesa agropecuária e altera a Lei nº 8.745, de 9 de dezembro de 1993.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),Despacho MGI-GM- ASPAR (SEI 40201222),19/02/2024,,Assessoria Estratégica SEGES (Urgente),Despacho MGI -SEGES-ASSEST (SEI 40206232),19/02/2024,19/02/2024,xxx,xxx,,,1,19/02/2024,19/02/2024,1,19/02/2024,,,,,,
PDL  nº 4/2024,PDL 4/2024,PDL,4,2024,Câmara,PDL 4/2024,"Susta o Decreto no 11.872, de 29 de dezembro de 2023, que dispõe sobre a concessão de diárias no âmbito da administração federal direta, autárquica e fundacional.",28/02/2024,CCP,Publicação de Proposição,Aguardando Definição Encaminhamento,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 29/02/2024 PAG 712,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2384711,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2417170,05/02/2024,Gustavo Gayer,PL,GO,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2417170&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2417170,,,,,,,,,,,,,,,,,6,18001.000370/2024-88,"""Susta o Decreto nº 11.872, de 29 de
dezembro de 2023, que dispõe sobre a
concessão de diárias no âmbito da
administração federal direta, autárquica e
fundaciona""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 19422/2024/MGI (SEI 40196810),19/02/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 40220317),20/02/2024,01/03/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 40239690),20/02/2024,28/02/2024,7,07/03/2024,12/03/2024,5,18/03/2024,Não tem Nota técnica ,"13/08/2024	
Cultura ( CCULT )

Aprovado o requerimento nº 31/2024,da Sra. Alice Portugal que requer a realização de Audiência Pública para debater o papel estratégico do Arquivo Nacional e o PL 2789/2021, que moderniza a Lei nº 8.159, de 8 de janeiro de 1991, e cria nova hipótese de improbidade administrativa.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2293801,2417170,,
PL nº 1.498/2023,PL 1498/2023,PL,1498,2023,Senado,,,,,,,,,,,,,,,,,,,,PL 1498/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021, para permitir que associações de pessoas com deficiência possam ser contratadas por dispensa de licitação, mesmo que os serviços não sejam prestados exclusivamente por pessoas com deficiência.",12/09/2025,"CCJ - Comissão de Constituição, Justiça e Cidadania","Recebido o Relatório do Senador Hamilton Mourão, com voto pela aprovação do Projeto.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9301553&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/156547,29/03/2023,Flávio Arns,PSB,PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/156547,https://www25.senado.leg.br/web/atividade/materias/-/materia/156547,7,18001.000511/2024 - 62 ,"""Altera a Lei nº 14.133, de 1º de abril de 2021, para permitir que associações de pessoas com deficiência possam ser contratadas por dispensa de licitação, mesmo que os serviços não sejam prestados exclusivamente por pessoas com deficiência.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 26151/2024/MGI (SEI 40496048),04/03/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 40586476),07/03/2024,22/03/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 40586898),07/03/2024,20/03/2024,10,20/03/2024,,15,09/04/2023,contrária ao PL,"Último local:
13/03/2024 - Comissão de Constituição, Justiça e Cidadania
Último estado:
13/03/2024 - AGUARDANDO DESIGNAÇÃO DO RELATOR",https://www25.senado.leg.br/web/atividade/materias/-/materia/156547,,8400723,156547
PL nº 4363/2011,PL 4363/2011,PL,4363,2011,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,18001.000591//2024-56," ""Institui o Selo Nacional ASG, conferido as empresas que investem em ações e projetos de motivação ambiental, social e de governança.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),OFÍCIO SEI Nº 30025/2024/MGI (SEI 40675843),12/03/2024,12/03/2024,xxx,xxx,,,Gabinete da Delog (Urgente),Despacho MGI-SEGES-DELOG (SEI 41143158),12/03/2024,12/03/2024,1,12/03/2024,12/03/2024,2,13/03/2024,"Diante disso, em que pese a boa intenção do autor da proposta, entende-se que, por ora, a SEGES deve se posicionar contrariamente à aprovação do Projeto de Lei nº 4363/21. Não obstante, recomenda-se a realização de Audiências Públicas com atores favoráveis e contrários à proposição com vistas a aprimorá-lo, adicionando-se, sobretudo, a exigência de adoção de ações para a prevenção de impactos negativos e de reparação, nos casos em que os impactos venham a ocorrer, para que venham a se tornarem aptas aos benefícios cogitados.

Adicionalmente, recomenda-se que o Governo colha as manifestações do MDIC, da CGU e do MDHC, pelo menos.

À apreciação do Sr. Secretário de Gestão e inovação.

 

 ","Situação: Transformada na Lei Ordinária 14751/2023O             Projeto de Lei nº 4363/2001, que institui a Lei Orgânica Nacional das Polícias Militares e dos Corpos de Bombeiros Militares, foi transformado na Lei Ordinária 14.751/2023 em 12 de dezembro de 2023. 
CÂMARA DOS DEPUTADOS
 A promulgação da parte vetada ocorreu em 13 de junho de 2024, após a rejeição do veto presidencial parcial. Portanto, o último andamento significativo foi a promulgação completa da lei em 13 de junho de 2024.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=26946https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=26946,,,
PL - emergência fitossanitária ( Novo texto),,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18001.000372/2024-77,"Dispõe sobre as medidas para o enfrentamento de emergência fitossanitária ou zoossanitária de que trata a Lei nº 12.873, de 24 de outubro de 2013, institui o Sistema Nacional de Emergências Agropecuárias - SINEAGRO, autoriza o custeio de deslocamento de integrantes do SUASA em operações da defesa agropecuária e altera a Lei nº 8.745, de 9 de dezembro de 1993.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,Despacho MGI-GM- ASPAR (SEI 40735879),13/03/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 40792369),15/03/2024,20/03/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 40795292),15/03/2024,18/03/2024,3,17/03/2024,,3,20/03/2024,"Diante de todo o exposto, considerando que as situações apontadas pelo MAPA para a edição da lei estão relacionadas a situações de iminente risco à saúde animal, vegetal e de emergência fitossanitária ou zoossanitária, conforme explicitada na exposição de Motivos (SEI nº 40735658), sugere-se que o MAPA realize gestões perante a Secretaria de Orçamento Federal do Ministério do Planejamento e Orçamento (SOF/MPO), com vistas a apresentar estimativa de gastos e verificar a disponibilidade orçamentária para fazer face às despesas constantes desse projeto de lei. No tocante aos aspectos técnicos e normativos à presente proposta de Projeto de Lei no âmbito da competência desta SRT, conclui-se não haver óbices.

Nesses termos, sugere-se a remessa dos autos à Secretaria-Executiva (SE/MGI), para ciência da manifestação apresentada nesta Nota Técnica.",xxxxxxx,xxxxxx,,,
PL n° 2607/2021,PL 2607/2021,PL,2607,2021,Senado,,,,,,,,,,,,,,,,,,,,PL 2607/2021,"Acrescenta inciso VII ao art. 68 da Lei nº 14.133, de 1º de abril de 2021, que regula as licitações e contratos administrativos, para estabelecer como requisito para habilitação a verificação do cumprimento das quotas de aprendizagem e dá outras providências.",27/11/2024,CAS - Comissão de Assuntos Sociais,"Em reunião realizada em 27/11/2024, a matéria foi retirada de pauta.

Matéria encaminhada ao Relator, Senador Flávio Arns, para reexame.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=8993588&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/149192,27/07/2021,Zenaide Maia,PROS,RN,https://www25.senado.leg.br/web/atividade/materias/-/materia/149192,https://www25.senado.leg.br/web/atividade/materias/-/materia/149192,10,18001.000608/2024-75,"""Acrescenta inciso VII ao art. 68 da Lei nº 14.133, de 1º de abril de 2021, que regula as licitações e contratos administrativos, para estabelecer como requisito para habilitação a verificação do cumprimento das quotas de aprendizagem e dá outras providências.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 30856/2024/MGI (sei 40711132),14/03/2024,,Assessoria Estratégica - seges,Despacho MGI -SEGES-ASSEST (SEI 40768879),15/03/2024,29/03/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 40799663),15/03/2024,27/03/2024,12,26/03/2024,29/03/2024,8,09/04/2024,contrária ao PL,"Relator atual:
Senador Flávio Arns
Último local:
09/05/2023 - Comissão de Assuntos Sociais
Último estado:
27/11/2024 - MATÉRIA COM A RELATORIA",https://www25.senado.leg.br/web/atividade/materias/-/materia/149192,,8110383,149192
